# err
# train   val
1.096850 1.088099 
1.080828 1.074459 
1.040784 0.974305 
0.848664 0.763468 
0.684942 0.648363 
0.628166 0.652557 
0.558547 0.552313 
0.473952 0.509098 
0.419819 0.465639 
0.385616 0.453841 
0.354940 0.391395 
0.315199 0.411767 
0.286563 0.413256 
0.271302 0.459782 
0.230263 0.330932 
0.212072 0.388246 
0.201781 0.387882 
0.182112 0.360397 
0.179519 0.370290 
0.150039 0.402389 
0.144622 0.390446 
0.150879 0.350464 
0.144160 0.384130 
0.124955 0.417498 
0.110953 0.369272 
0.103350 0.430938 
0.109678 0.395434 
0.091484 0.486463 
0.071373 0.454342 
0.061000 0.470480 
