# err
# train   val
1.099109 1.097922 
1.098346 1.097327 
1.097906 1.097146 
1.097237 1.096311 
1.097246 1.096215 
1.096763 1.095568 
1.095888 1.095066 
1.095082 1.094756 
1.095865 1.093992 
1.095627 1.093508 
1.094078 1.093190 
1.093100 1.093202 
1.093283 1.092171 
1.092354 1.091497 
1.091791 1.090587 
